Número do processos,Contrato,Extrato,Comprovante de crédito,Dossiê,Demonstrativo de evolução da dívida,Laudo referenciado
9745014-49.2025.8.18.8768,1,1,1,1,1,1
7727141-69.2025.8.12.1603,1,1,1,1,1,1
3851042-77.2025.8.18.1945,0,1,1,0,1,1
1459618-38.2025.8.06.2600,1,1,1,1,1,1
5579215-47.2025.8.10.1258,0,0,0,0,0,1
4713203-44.2025.8.07.4181,1,1,1,1,1,1
9100125-37.2025.8.02.7809,1,1,1,1,1,0
9350055-50.2025.8.03.3215,1,1,1,1,1,0
7702486-98.2025.8.06.4413,0,1,0,1,1,1
8072532-55.2025.8.11.4029,1,1,0,0,1,1
4980320-13.2025.8.18.4732,0,1,0,1,1,0
1285710-86.2025.8.16.1973,1,1,0,1,0,1
5395176-37.2025.8.05.1726,0,0,0,1,1,1
5391521-03.2025.8.17.1039,0,1,1,0,1,1
5592650-63.2025.8.18.1165,1,1,0,0,0,1
5964480-98.2025.8.13.3677,1,1,0,0,1,1
8346913-21.2025.8.03.6369,1,0,1,0,1,1
8849192-69.2025.8.06.7567,1,0,1,1,1,0
9437654-82.2025.8.14.6795,0,1,1,0,0,1
7104537-20.2025.8.27.4190,0,0,0,1,1,1
4465812-12.2025.8.26.2506,0,1,1,1,1,1
7422525-21.2025.8.18.9312,1,1,1,1,1,0
1470716-30.2025.8.27.4415,1,1,1,1,1,1
3094893-94.2025.8.12.5513,1,0,1,1,0,1
7479746-65.2025.8.10.8316,1,1,1,1,1,0
3351310-28.2025.8.21.0629,1,1,0,1,1,1
5548103-79.2025.8.15.0874,1,1,0,1,1,1
8871532-65.2025.8.09.5766,1,1,1,0,1,1
3446082-24.2025.8.16.3719,1,1,1,1,0,1
8135776-24.2025.8.16.1325,0,1,0,0,1,0
3097558-95.2025.8.19.8459,1,1,1,0,1,1
4536245-57.2025.8.03.9997,1,1,1,0,1,1
8811997-92.2025.8.13.3817,0,1,0,1,1,1
1981556-54.2025.8.24.6227,0,0,1,0,1,1
3184974-18.2025.8.10.5989,1,1,1,1,1,1
6717074-15.2025.8.27.2931,1,1,1,0,1,0
4030360-40.2025.8.13.3292,1,1,0,1,0,1
5055947-21.2025.8.17.7496,1,1,1,1,1,1
7920729-74.2025.8.13.2772,1,1,1,1,0,1
7837060-38.2025.8.24.9359,1,0,0,1,0,1
4781837-93.2025.8.18.1902,1,0,0,1,1,1
7874225-49.2025.8.09.8903,1,1,0,1,1,1
8789119-87.2025.8.18.8711,1,0,1,1,1,1
2183028-16.2025.8.06.2704,1,0,0,1,1,1
1631114-63.2025.8.14.4485,1,1,0,1,1,1
4614500-63.2025.8.17.0332,0,0,1,1,0,1
6265460-69.2025.8.13.4331,1,1,0,1,1,1
5819013-29.2025.8.20.2843,1,0,1,0,1,0
7093794-65.2025.8.10.5872,1,1,1,1,0,1
8198280-86.2025.8.18.5559,1,1,1,1,1,1
7258703-00.2025.8.24.1639,1,1,0,1,1,1
1828719-02.2025.8.15.1097,1,1,1,0,1,0
2627869-67.2025.8.14.9125,1,1,1,0,1,1
9592534-03.2025.8.16.3514,1,1,1,1,1,0
5319356-15.2025.8.04.7785,1,1,1,1,1,0
8880023-68.2025.8.14.4864,1,1,0,1,1,1
6106267-85.2025.8.21.2276,1,1,1,1,0,1
8917781-59.2025.8.07.5372,0,1,0,1,0,1
5386325-16.2025.8.07.7563,1,1,1,1,1,1
6284142-48.2025.8.07.5289,1,1,0,1,0,1
5779188-81.2025.8.18.2299,0,0,1,1,0,0
3964159-00.2025.8.06.9900,1,1,1,1,1,1
8141110-02.2025.8.10.5844,1,1,1,1,1,1
8867325-74.2025.8.05.0199,0,1,1,0,1,1
5601764-03.2025.8.22.1702,1,1,1,0,1,1
5271076-23.2025.8.08.6864,0,0,0,1,1,1
5774212-74.2025.8.06.2567,1,1,1,1,1,0
9590658-90.2025.8.12.4904,0,1,0,0,1,1
1006161-04.2025.8.08.5650,0,1,0,0,1,1
4351781-07.2025.8.22.3613,0,1,1,1,1,1
2138730-77.2025.8.25.9974,1,1,1,0,1,1
5665174-01.2025.8.20.9083,1,1,0,1,1,0
4559209-55.2025.8.13.7879,0,1,0,1,1,0
5876567-93.2025.8.20.5263,1,1,1,0,1,1
6887378-01.2025.8.09.3317,1,1,0,0,1,1
6572173-69.2025.8.02.0526,1,1,0,1,0,1
4862592-74.2025.8.18.6731,1,1,1,1,1,1
4277346-80.2025.8.21.0810,1,0,0,1,1,0
8575322-08.2025.8.04.9242,1,0,1,0,1,1
3501633-25.2025.8.06.3590,0,0,0,1,1,1
5105359-95.2025.8.12.2394,0,1,0,1,1,1
7124904-73.2025.8.16.6669,1,1,0,1,1,0
6298448-63.2025.8.17.3346,1,1,0,1,0,1
2171566-25.2025.8.01.2706,1,0,1,0,1,0
2348797-72.2025.8.22.5716,1,1,1,1,1,1
8061082-89.2025.8.03.8935,1,1,1,1,1,1
4885272-12.2025.8.27.9251,1,0,0,1,1,0
3457882-37.2025.8.14.2153,0,0,0,1,1,0
3122903-81.2025.8.18.2706,1,1,1,0,1,1
6783661-51.2025.8.03.1277,0,1,1,1,1,1
1778902-59.2025.8.10.3909,0,1,1,1,0,1
6932601-73.2025.8.11.0266,1,1,1,1,1,1
1734141-46.2025.8.24.7573,0,0,0,1,0,1
9288839-34.2025.8.07.2948,1,1,0,1,1,1
7193855-93.2025.8.02.3453,1,1,0,1,1,1
1018720-66.2025.8.03.0441,1,0,1,0,1,1
2283888-11.2025.8.09.3218,0,0,1,0,0,1
5338187-14.2025.8.07.5701,1,1,1,1,0,0
6926127-35.2025.8.05.2214,1,1,1,0,1,1
2198416-22.2025.8.09.8933,1,1,0,1,1,1
4302985-36.2025.8.24.4713,1,1,1,1,1,1
4027328-98.2025.8.10.4606,1,1,0,1,0,1
2674488-38.2025.8.04.2677,0,1,0,1,1,1
3359607-67.2025.8.21.8235,0,1,1,1,0,1
9422475-35.2025.8.20.8151,0,0,1,0,0,0
7754045-23.2025.8.17.9069,1,1,0,1,1,1
5255102-02.2025.8.10.1127,1,1,1,0,1,0
1444645-68.2025.8.08.3070,1,1,1,1,0,1
1741077-16.2025.8.17.6138,1,1,1,1,1,1
6089598-96.2025.8.04.8899,0,1,1,1,0,1
1739707-66.2025.8.08.9011,0,1,1,0,0,0
2829768-01.2025.8.19.5390,1,1,1,1,1,0
7653954-79.2025.8.17.2803,1,1,0,1,1,1
3834420-35.2025.8.19.2494,1,1,1,1,1,1
9694863-89.2025.8.15.5630,1,1,1,1,1,1
5120262-22.2025.8.20.4697,1,1,1,1,0,1
3175927-59.2025.8.25.1769,1,1,1,1,1,1
7959310-71.2025.8.14.4036,1,1,1,1,1,1
2928828-25.2025.8.24.1374,1,1,1,1,1,1
6978864-33.2025.8.13.1041,1,1,1,0,1,0
3561972-60.2025.8.20.5539,0,0,0,1,0,0
5737300-01.2025.8.07.9925,1,0,0,1,1,1
1231769-81.2025.8.22.5946,1,1,0,1,1,0
1350769-33.2025.8.15.1221,1,1,1,1,1,1
5248815-50.2025.8.26.0489,1,1,1,1,0,1
2576471-58.2025.8.05.6900,1,1,0,1,0,1
3968762-29.2025.8.11.0765,1,1,0,1,0,1
7233052-52.2025.8.20.3683,1,1,0,1,1,0
5710294-70.2025.8.10.3264,1,1,1,1,1,1
2693290-60.2025.8.16.0169,1,1,0,1,0,1
8730476-11.2025.8.27.9825,0,0,0,0,1,1
7588358-18.2025.8.04.8903,1,1,1,1,1,1
2355540-13.2025.8.17.0597,1,0,0,1,1,1
3112828-57.2025.8.08.7570,0,1,1,1,1,1
4184633-23.2025.8.07.0732,1,1,0,1,0,0
4101776-23.2025.8.25.8954,0,0,1,1,0,1
1263027-76.2025.8.05.2125,1,1,0,1,1,0
3055085-83.2025.8.02.5517,1,1,0,1,0,1
1574215-20.2025.8.18.2886,1,1,0,1,0,1
5533904-97.2025.8.26.6276,0,1,0,0,0,1
1605740-84.2025.8.10.3868,1,0,1,1,1,1
8875756-22.2025.8.19.6435,1,1,0,0,0,1
9888071-75.2025.8.17.5995,1,1,1,0,0,1
2557073-95.2025.8.25.7254,0,1,1,1,1,1
5889580-60.2025.8.27.9310,1,0,1,1,1,1
3610323-91.2025.8.26.0229,1,1,1,0,1,1
2607814-68.2025.8.19.5830,1,1,1,1,1,1
9480781-84.2025.8.07.7471,0,1,0,1,1,1
5040053-76.2025.8.08.2611,1,1,1,0,1,1
5877338-44.2025.8.17.5232,1,1,1,1,0,1
3599780-93.2025.8.11.9707,1,1,1,1,1,1
1969769-90.2025.8.24.3393,0,1,0,0,1,1
7021330-95.2025.8.10.5265,0,1,1,1,0,1
8301360-05.2025.8.14.6759,0,1,1,1,1,1
9369353-18.2025.8.27.4172,1,1,0,0,1,1
4245122-49.2025.8.24.7418,1,1,0,1,1,0
4673449-40.2025.8.16.2816,0,1,0,1,1,0
3961574-73.2025.8.12.5495,0,1,1,1,1,0
1657096-25.2025.8.22.0866,1,1,1,1,0,1
5829107-18.2025.8.10.1659,1,1,0,0,1,1
8803529-37.2025.8.04.8404,1,1,1,0,0,1
1747828-01.2025.8.27.3139,1,1,1,0,0,1
8549443-09.2025.8.05.1891,0,1,0,0,0,1
9050138-87.2025.8.11.1208,1,1,1,0,1,1
9293529-17.2025.8.16.1316,1,1,0,0,1,1
3962310-70.2025.8.24.8743,1,1,1,1,1,1
8348295-40.2025.8.03.0693,1,0,1,1,1,1
6210028-26.2025.8.03.8459,1,1,1,1,1,1
5669318-40.2025.8.15.4781,1,1,1,0,1,1
7786068-92.2025.8.04.1324,1,1,1,1,1,0
1128032-29.2025.8.13.8196,1,0,0,1,1,1
4016568-68.2025.8.01.9612,1,1,0,1,0,1
8800261-91.2025.8.27.7799,1,1,1,0,0,1
4887657-81.2025.8.19.8355,0,0,0,0,1,1
2035183-92.2025.8.04.4711,1,1,1,0,1,0
9517131-93.2025.8.07.4273,1,1,1,1,1,1
3716931-04.2025.8.12.6120,1,1,1,1,1,1
7735645-18.2025.8.01.6012,0,1,1,1,1,1
8538949-54.2025.8.17.0455,1,1,1,0,0,0
4275320-16.2025.8.08.8838,0,1,1,1,1,0
1288224-39.2025.8.26.1186,1,1,0,1,1,0
3427833-78.2025.8.26.3380,1,1,1,0,0,1
4822474-29.2025.8.10.6321,1,1,1,1,1,1
9772593-37.2025.8.24.6596,1,1,1,0,1,1
8853968-49.2025.8.08.1443,0,0,0,1,1,1
7594615-04.2025.8.10.6098,0,1,1,1,0,0
6251494-09.2025.8.15.3329,1,1,0,1,1,1
4445914-58.2025.8.05.9238,0,0,0,1,1,1
2469645-93.2025.8.11.0334,1,0,1,1,0,1
1361605-94.2025.8.14.1649,1,1,0,1,0,1
7258021-18.2025.8.20.8541,1,0,0,0,1,1
1731790-04.2025.8.17.8205,1,1,1,1,1,1
8346715-63.2025.8.10.3352,1,1,1,0,1,1
8229695-58.2025.8.04.0543,1,1,1,1,0,1
